MCONumber                               CompanyName                                        WKT
711                                     UHC of Van Nuys / San Luis Obispo                  MULTIPOLYGON (((-121.19588999999999 35.79435099, -121.34630015999998 35.795220029999996, -121.35404915999999 35.79566301, -121.33584108 35.77325904, -121.33386287999998 35.75558502, -121.32357083999999 35.74832499, -121.31842499999999 35.70666498, -121.293
712                                     UHC of Los Angeles West                            POLYGON ((-118.60570512 34.13682504, -118.60685099999999 34.13580903, -118.61320283999999 34.125582959999996, -118.61370611999999 34.12818702, -118.61710595999999 34.13148597, -118.61829503999999 34.12825101, -118.63073015999998 34.13614302, -118.63143 34.
713                                     UHC of Los Angeles East                            POLYGON ((-118.15531487999999 34.098587009999996, -118.15539191999999 34.09768998, -118.15589987999999 34.09668396, -118.15935803999999 34.09448697, -118.16088803999999 34.093322009999994, -118.16062416 34.09194402, -118.16097192 34.091175959999994, -118.1
714                                     UHC of San Fernando Valley                         POLYGON ((-118.39058711999999 34.12219203, -118.39033799999999 34.122732029999995, -118.38762288 34.12345302, -118.38654107999999 34.12139301, -118.38313799999999 34.122195, -118.38135888 34.12258101, -118.38112991999999 34.12302903, -118.38152195999999 34
715                                     UHC of North Orange County                         POLYGON ((-117.63659087999999 33.829929, -117.63736487999999 33.83076699, -117.66210299999999 33.85748304, -117.67428287999999 33.85795698, -117.67494095999999 33.86852001, -117.67221504 33.86911203, -117.67412592 33.871142969999994, -117.68031611999999 33
716                                     UHC of San Bernardino                              POLYGON ((-116.98530084 34.99015203, -116.99950607999999 34.983703979999994, -117.19665287999999 35.07932304, -117.24758315999999 35.08288002, -117.34112483999999 35.083630979999995, -117.408807 35.20552401, -117.48594492 35.23730499, -117.50978987999999 3
717                                     UHC of San Diego                                   POLYGON ((-117.28290204 32.941285019999995, -117.283086 32.941278, -117.26983908 32.93289702, -117.26678195999999 32.91322401, -117.26046396 32.886701009999996, -117.26453987999999 32.85623304, -117.275589 32.85279603, -117.28100411999999 32.84794601999999
718                                     UHC of Idaho                                       POLYGON ((-119.65534308 44.34554196, -119.65558607999999 44.30696499, -119.65757796 43.959050999999995, -119.77565184 43.95907098, -119.77573788 43.943597999999994, -119.77750008 43.703523989999994, -119.78341307999999 43.69793598, -119.73796091999999 43.6
719                                     UHC of Northeast California                        POLYGON ((-119.99833091999999 41.755561019999995, -119.99916791999999 41.99454099, -120.87948096 41.99378202, -121.44760487999999 41.997178979999994, -122.28952715999999 42.00776397, -123.045255 42.003048959999994, -123.14595995999998 42.009246989999994, -
720                                     UHC of South Utah                                  POLYGON ((-113.33762388 36.999983969999995, -113.01384816 36.999983969999995, -113.01032916 36.999983969999995, -113.00732495999999 37.00020204, -112.95340596 37.000251, -112.86232811999999 37.00052802, -112.80887315999999 37.00050804, -112.60978811999999 
721                                     UHC of Western Arizona                             POLYGON ((-113.333823 33.638720039999995, -113.33403288 33.61241097, -113.33331503999999 33.56574003, -113.33373803999999 33.52623696, -113.33443607999999 33.50003598, -113.33392092 33.37742502, -113.33405015999999 33.316868969999994, -113.33421791999999 3
722                                     UHC of Northern Colorado                           POLYGON ((-103.85786988 40.865993999999993, -103.85900604 40.867581959999995, -103.85915291999999 40.869079019999994, -103.86186011999999 40.871241, -103.86172799999999 40.874471009999993, -103.86417203999999 40.875038999999994, -103.86170207999999 40.8750
723                                     UHC of Eastern Arizona                             POLYGON ((-109.960128 32.83238601, -109.95959196 32.832614969999995, -109.95802703999999 32.832485999999996, -109.95743087999999 32.833422989999995, -109.95545987999999 32.834525039999995, -109.95299784 32.83439796, -109.95137208 32.835086999999994, -109.9
724                                     UHC of Northern New Mexico                         POLYGON ((-103.05260999999999 33.570600029999994, -103.04964899999999 33.732044009999996, -103.04734608 33.824675969999994, -103.04564507999999 33.901536959999994, -103.04361791999999 34.00363296, -103.04348003999999 34.11281502, -103.04393687999999 34.302
725                                     UHC of Fargo                                       POLYGON ((-95.015552039999989 45.903188969999995, -95.01555384 45.90344799, -95.015585879999989 45.90786798, -95.015589119999987 45.908180009999995, -95.015589119999987 45.918456029999994, -95.02571988 45.918996029999995, -95.025035159999987 45.93219200999
726                                     UHC of Southern Minnesota                          POLYGON ((-94.755681 44.892109979999994, -94.758198839999991 44.892066959999994, -95.12565912 44.89156998, -95.12537291999999 44.920832039999993, -95.207118839999993 44.920629, -95.207690879999987 44.934794999999994, -95.248713959999989 44.934668009999996,
729                                     UHC of Northern Minnesota                          MULTIPOLYGON (((-95.601979079999992 48.36554802, -95.206691159999991 48.36648303, -95.204404079999989 48.194530019999995, -95.59427292 48.193005959999994, -95.593780079999988 48.172967009999994, -95.592488039999992 48.020559029999994, -95.58288791999999 48
730                                     UHC of Nebraska                                    POLYGON ((-104.05312812 43.00058601, -104.05277496 42.611590979999995, -104.052843 42.09566796, -104.052618 42.00170103, -104.05280484 41.98935402, -104.05299095999999 41.914972979999995, -104.05288583999999 41.809329, -104.05298196 41.78286198, -104.05268
731                                     UHC of Maine                                       POLYGON ((-66.96469008 44.913267, -66.993918119999989 44.921616029999996, -67.02089796 44.95262904, -67.06690092 45.02780496, -67.10662404 45.096747029999996, -67.129253999999989 45.12866697, -67.16132496 45.16023204, -67.189815 45.164021039999994, -67.204
732                                     UHC of South Orange County                         POLYGON ((-117.52079796 33.31611801, -117.50512787999999 33.33193299, -117.50397695999999 33.336146969999994, -117.50308415999999 33.33591801, -117.50279687999999 33.33652803, -117.49984199999999 33.33834999, -117.49832891999999 33.33756303, -117.494408159
733                                     UHC of North East Dallas                           POLYGON ((-96.94463508 33.02630901, -96.94433484 33.02534403, -96.945039 33.02309997, -96.94431288 33.02090199, -96.94490796 33.01963299, -96.946417079999989 33.018037019999994, -96.94828512 33.018012, -96.94952316 33.018715979999996, -96.95004804 33.01836
734                                     UHC of Northern Kansas                             POLYGON ((-99.62541612 40.001452019999995, -99.627707159999986 39.56733396, -99.601530119999993 39.567839039999996, -99.605231999999987 39.132523979999995, -99.591805079999986 39.13247601, -99.594258119999992 38.986416989999995, -99.59470992 38.93775497999
735                                     UHC of Missouri                                    POLYGON ((-94.618037879999989 37.01308401, -94.618079999999992 36.99818604, -94.618158839999992 36.980506979999994, -94.618145879999986 36.95851296, -94.618509839999987 36.86893002, -94.618307159999986 36.766559969999996, -94.618025999999986 36.66943097999
736                                     UHC of Saint Louis                                 POLYGON ((-91.402450919999993 38.615984999999995, -91.392163919999987 38.606077979999995, -91.380810959999991 38.60547597, -91.38196692 38.599541009999996, -91.39644396 38.59801101, -91.39453884 38.575035, -91.386523079999989 38.569310009999995, -91.387136
737                                     UHC of South Austin                                POLYGON ((-96.96376115999999 30.557107979999998, -97.00435404 30.536070029999998, -97.006807079999987 30.534901019999996, -97.051601879999993 30.511421999999996, -97.155224999999987 30.457349999999998, -97.17732504 30.450236039999997, -97.17845184 30.44759
738                                     UHC of Southwest Oklahoma City                     POLYGON ((-100.00038708 35.298673019999995, -100.00038599999999 35.182702979999995, -100.00038491999999 35.142435989999996, -100.00038384 35.03038599, -100.00038203999999 34.81244397, -100.00038203999999 34.681812029999996, -99.997502039999986 34.56057402,
739                                     UHC of Northwest Chicago Suburbs                   POLYGON ((-88.41526812 42.494617979999994, -88.444317959999992 42.494741999999995, -88.515740159999993 42.49480104, -88.525709999999989 42.49491696, -88.66410588 42.49464201, -88.72671708 42.493069979999994, -88.726646159999987 42.49009503, -88.72572312 42
740                                     UHC of W Texas                                     POLYGON ((-104.98001292 30.629096999999998, -104.97164903999999 30.604853969999997, -104.92929683999999 30.593526029999996, -104.90238504 30.560958, -104.87864411999999 30.439106999999996, -104.82655788 30.34677996, -104.70409704 30.185345969999997, -104.7
741                                     UHC of East Dallas                                 POLYGON ((-97.021946879999987 32.838364979999994, -97.020624959999992 32.836383, -97.01964108 32.834409029999996, -97.00563996 32.83426899, -96.993943919999992 32.83421301, -96.98448816 32.83438104, -96.96848184 32.834156039999996, -96.962801039999988 32.8
742                                     UHC of Arkansas                                    POLYGON ((-95.283033839999987 34.694187029999995, -95.28250788 34.693250039999995, -95.28284088 34.690554989999995, -95.282205119999986 34.687881989999994, -95.282483039999988 34.685575019999995, -95.28209604 34.68383703, -95.28209604 34.68310398, -95.2825
743                                     UHC of Northern LA                                 POLYGON ((-95.153410079999986 32.57014203, -95.15947788 32.564493989999995, -95.16216996 32.55363198, -95.159783879999992 32.550283979999996, -95.16761496 32.54379003, -95.17602384 32.55521796, -95.18320908 32.541266969999995, -95.18493887999999 32.5415420
744                                     UHC of San Antonio East                            POLYGON ((-98.964613079999992 30.921369029999997, -98.964195839999988 30.907007999999998, -98.96449788 30.89826603, -98.963854919999989 30.808032029999996, -98.963832959999991 30.78988398, -98.96315616 30.79040598, -98.96039388 30.790887029999997, -98.9596
745                                     UHC of Gulf Coast TX                               POLYGON ((-95.873812919999992 29.229518969999997, -95.844664079999987 29.204681039999997, -95.857796159999992 29.19335103, -95.852977919999987 29.189126969999997, -95.83868088 29.176281989999996, -95.84861292 29.163535019999998, -95.847883919999987 29.1455
746                                     UHC of West Houston                                POLYGON ((-96.72635016 30.351833009999996, -96.721484039999993 30.347111969999997, -96.72330708 30.341261969999998, -96.722562959999991 30.33551403, -96.719627159999987 30.332822039999996, -96.715819079999989 30.332932019999998, -96.71587308 30.325815, -96
747                                     UHC of Southern Louisiana                          POLYGON ((-92.04643908 29.570141969999998, -91.99220004 29.510748989999996, -91.868094 29.469392009999996, -91.87568712 29.421479969999996, -91.85611284 29.391435989999998, -91.81230407999999 29.40605298, -91.730278079999991 29.511559979999998, -91.5345359
748                                     UHC of Mississippi                                 POLYGON ((-91.27441404 31.77814401, -91.260119159999988 31.784452019999996, -91.238011919999991 31.794209009999996, -91.23603408 31.795482959999998, -91.215199079999991 31.785915959999997, -91.20632004 31.79036196, -91.19805912 31.78765098, -91.19502503999
749                                     UHC of Southwestern Wisconsin and Rockford         POLYGON ((-90.192266999999987 44.248985999999995, -90.31203396 44.24878404, -90.315482039999992 44.24871303, -90.31767588 44.292015, -90.436457159999989 44.289150029999995, -90.501344999999986 44.30362203, -90.50221187999999 44.304060959999994, -90.5023450
750                                     UHC of South Eastern Wisconsin                     POLYGON ((-88.899867 43.161101009999996, -88.90296912 43.148863979999994, -88.93024704 43.14578202, -88.933877999999993 43.12928196, -88.93638684 43.129441979999996, -88.936126919999992 43.106598, -88.952514119999989 43.108167959999996, -88.95438684 43.088
751                                     UHC of Northern Michigan                           MULTIPOLYGON (((-83.893897079999988 43.91777304, -83.88944208 43.92015102, -83.873625839999988 43.95521898, -83.85753204 43.96335696, -83.84144004 43.98757497, -83.76347016 43.98215103, -83.73128184 43.99455096, -83.67689808 43.98525099, -83.66136012 44.01
752                                     UHC of South Eastern Michigan                      POLYGON ((-83.24864496 42.342391979999995, -83.249768159999988 42.343652969999994, -83.248355159999988 42.344214029999996, -83.246482079999993 42.346796039999994, -83.24735004 42.348058019999996, -83.24710092 42.34858902, -83.248355159999988 42.35099102999
753                                     UHC of Clearwater                                  POLYGON ((-82.736552879999991 28.350623969999997, -82.77262884 28.266291, -82.82064708 28.187812979999997, -82.83955608 28.09457298, -82.846024919999991 28.02695103, -82.846024919999991 27.968075999999996, -82.86866604 27.893338019999998, -82.8644360399999
754                                     UHC of Detroit Michigan                            POLYGON ((-83.21735484 42.277652999999994, -83.20697315999999 42.28984404, -83.207433959999989 42.289919999999995, -83.20704192 42.29038197, -83.20678812 42.290056979999996, -83.204619839999992 42.293422979999995, -83.20433184 42.292538009999994, -83.20389
755                                     UHC of Northwest Houston                           POLYGON ((-95.456750039999989 29.798946989999997, -95.45067684 29.794521959999997, -95.449912919999989 29.79750501, -95.44871015999999 29.80151604, -95.448366 29.802659039999998, -95.44741092 29.80401804, -95.44503096 29.80632996, -95.441704919999992 29.80
756                                     UHC of North Austin                                POLYGON ((-98.56273895999999 31.230582029999997, -98.564477039999986 31.218308999999998, -98.57020211999999 31.199119019999998, -98.53814016 31.193155979999997, -98.54405315999999 31.179223979999996, -98.505384119999988 31.165297019999997, -98.545380839999
757                                     UHC of Chicago S & SW Suburbs                      POLYGON ((-88.27012008 41.41984797, -88.26609203999999 41.420051009999995, -88.26604596 41.41856997, -88.275642839999989 41.418329039999996, -88.27559712 41.41760598, -88.27862796 41.41750302, -88.27867404 41.41815696, -88.289702999999989 41.41791702, -88.
758                                     UHC of North Shore Chicago                         POLYGON ((-87.61659804 41.91223797, -87.626895839999989 41.93186103, -87.63586595999999 41.95467297, -87.632210879999988 41.95982403, -87.629886 41.965466039999995, -87.64151292 41.97405096, -87.64583184 41.984843039999994, -87.651811079999987 42.002012969
759                                     UHC of N Indiana & S Cook County                   POLYGON ((-87.758490959999989 41.44077504, -87.75768312 41.426947979999994, -87.755829119999987 41.427413009999995, -87.756140159999987 41.432110019999996, -87.747694919999986 41.43172599, -87.747081839999993 41.43024, -87.738715079999992 41.43021399, -87.
